"village","groznyy","fire","deaths","preattack","postattack"
"Elistanzhi",0,0,NA,4,3
"Malye Shuani",0,1,0,0,1
"Belgatoy",0,1,34,1,0
"Oktya'brskoe",0,0,NA,0,0
"Chiri-Yurt",0,0,NA,4,5
"Gansolchu",0,1,0,0,0
"Achkoi-Martan",0,0,NA,4,8
"Khidi-Khutor",0,1,0,3,1
"Agishbatoi",0,0,NA,2,0
"Shirdi-Mokhk",0,1,0,1,0
"Marshen-Kali",0,0,NA,0,0
"Tazen-Kale",0,1,0,0,0
"Duba-Yurt",0,0,NA,0,0
"Yalkhoy-Mokhk",0,1,0,1,0
"Ersenoi",0,0,NA,0,0
"Shatoi",0,1,2,7,3
"Agishty",0,1,7,0,0
"Serzhen-Yurt",0,0,NA,8,4
"Shali",0,0,NA,6,6
"Urus-Martan",0,1,0,2,4
"Avarskoye",0,0,NA,0,0
"Yermolovskiy",0,1,1,0,0
"Agishty",0,1,7,0,0
"Sel'mentauzen",0,0,NA,0,1
"Alkhan-Kala",0,0,NA,1,1
"Tsotan-Yurt",0,1,0,1,2
"Novye Aldy",0,1,1,4,3
"Zakan-Yurt",0,0,NA,2,0
"Novye Aldy",0,1,1,4,3
"Shaami-Yurt",0,0,NA,0,0
"Kirova",0,0,NA,3,0
"Petropavlovskaya",0,1,2,7,3
"Sharo-Argun",0,1,0,0,0
"Trekhgor'ye",0,0,NA,0,0
"Kurchaloi",0,0,NA,3,6
"Starye Atagi",0,1,0,1,2
"Grozny (Leninskiy)",1,1,5,21,15
"Staropomyslovskiy (Groznyy)",1,0,NA,16,13
"Avtury",0,0,NA,3,2
"Starye Atagi",0,1,1,1,2
"Michurina",0,1,13,3,2
"Tashi",0,0,NA,0,0
"Novogroznenskoi",0,0,NA,1,0
"Tsotan-Yurt",0,1,8,3,1
"Gekhi (Blagodatnoye)",0,0,NA,5,2
"Novye Atagi",0,1,0,0,1
"Alkhazurovo",0,0,NA,0,0
"Tangy-Chu",0,1,0,0,0
"Michurina",0,1,1,2,2
"Podgornyy",0,0,NA,0,0
"Argun",0,1,15,2,2
"Shali",0,0,NA,5,6
"Khatuni",0,1,1,0,0
"Tevzena",0,0,NA,0,0
"Gansolchu",0,1,0,0,0
"Sovetskoye",0,0,NA,0,0
"Grozny  (Zavodskiy)",1,1,3,18,20
"Oktyabr'skiy (Groznyy)",1,0,NA,14,14
"Borzoi",0,0,NA,1,0
"Makhkety",0,1,1,1,0
"Mesker-Yurt",0,1,1,1,0
"Tolstoy-Yurt",0,0,NA,4,0
"Dyshne-Vedeno",0,1,1,0,0
"Vedeno",0,0,NA,5,6
"Staropomyslovskiy (Groznyy)",1,0,NA,17,20
"Urus-Martan",0,1,0,4,4
"Aslanbek-Sherpivo",0,0,NA,0,0
"Urus-Martan",0,1,0,4,4
"Goity",0,0,NA,4,0
"Makhkety",0,1,3,1,0
"Avtury",0,0,NA,3,2
"Grozny (Leninskiy)",1,1,10,27,22
"Chechen-Aul",0,0,NA,2,5
"Novye Atagi",0,1,0,0,2
"Dutsu-khote",0,1,0,0,0
"Vedeno",0,0,NA,7,7
"Musolt-Aul",0,0,NA,0,0
"Ulus-Kert",0,1,2,0,0
"Alkhan-Kala",0,1,0,1,1
"Dai",0,0,NA,0,0
"Geldagan (Gel'dygen)",0,0,NA,0,0
"Zakan-Yurt",0,1,0,0,0
"Ilaskhan-Yurt",0,0,NA,0,2
"Martan-Chu",0,1,0,0,0
"Nizhny Dai",0,1,0,0,0
"Ortsi-Yurt",0,0,NA,0,0
"Gikalo",0,0,NA,1,2
"Grozny (Zavodskiy)",1,1,2,22,20
"Grozny (Leninskiy)",1,1,0,23,20
"Oktyabr'skiy (Groznyy)",1,0,NA,16,12
"Borzoi",0,0,NA,0,1
"Starye Atagi",0,1,1,1,0
"Grozny (Leninskiy)",1,1,3,19,15
"Pervomayskaya",0,0,NA,0,1
"Guni",0,0,NA,0,0
"Starye Atagi",0,1,0,0,0
"Argun",0,1,3,6,0
"Shali",0,0,NA,10,10
"Roshni-chu",0,0,NA,1,2
"Starye Atagi",0,1,1,0,0
"Michurina",0,1,4,0,0
"Nikolaevskaya",0,0,NA,0,0
"Shaami-Yurt",0,1,1,0,0
"Tsa-Vedeno",0,0,NA,3,6
"Alkhazurovo",0,0,NA,0,1
"Starye Atagi",0,1,1,0,0
"Achkoi-Martan",0,1,0,3,1
"Gudermes",0,0,NA,13,11
"Gekhi (Blagodatnoye)",0,0,NA,7,7
"Makhkety",0,1,3,0,0
"Kurchaloi",0,0,NA,2,5
"Starye Atagi",0,1,1,0,1
"Duba-Yurt",0,1,0,0,0
"Goryacheistochnenskaya",0,0,NA,0,0
"Benoy",0,0,NA,0,0
"Isti-Su",0,1,0,0,0
"Goity",0,1,2,0,0
"Staropomyslovskiy (Groznyy)",1,0,NA,11,12
"Khal-Keloi",0,0,NA,0,0
"Michurina",0,1,1,1,0
"Oktya'brskoe",0,0,NA,9,10
"Serzhen-Yurt",0,1,1,3,2
"Argun",0,1,15,3,1
"Shali",0,0,NA,19,15
"Marshen-Kali",0,0,NA,0,0
"Michurina",0,1,1,1,0
"Gekhi (Blagodatnoye)",0,0,NA,5,5
"Michurina",0,1,0,1,0
"Alkhan-Kala",0,1,0,0,0
"Alkhan-Yurt",0,0,NA,3,2
"Argun",0,1,2,3,1
"Avtury",0,0,NA,3,2
"Novogroznenskoi",0,0,NA,0,1
"Tsotan-Yurt",0,1,8,3,6
"Dai",0,0,NA,0,1
"Vedeno",0,1,0,0,0
"Gargachi",0,1,2,0,0
"Gikalo",0,0,NA,2,1
"Alkhazurovo",0,1,0,0,2
"Prigorodny",0,0,NA,0,0
"Dzhalka",0,1,0,0,0
"Staropomyslovskiy (Groznyy)",1,0,NA,7,8
"Gekhi (Blagodatnoye)",0,0,NA,0,2
"Novye Atagi",0,1,5,0,0
"Gudermes",0,0,NA,3,7
"Shali",0,1,3,9,2
"Elistanzhi",0,0,NA,3,3
"Vedeno",0,1,2,9,2
"Avtury",0,0,NA,4,3
"Chechen-Aul",0,1,0,4,1
"Dyshne-Vedeno",0,1,3,0,0
"Tevzena",0,0,NA,2,2
"Agishty",0,1,5,0,0
"Akhkinchu-Barze",0,0,NA,2,1
"Chiri-Yurt",0,0,NA,3,1
"Grozny (Leninskiy)",1,1,3,20,17
"Prigorodny",0,1,0,0,0
"Tsa-Vedeno",0,0,NA,4,2
"Eshilkhatoy",0,1,0,0,0
"Morzoi-Mokkh",0,0,NA,0,0
"Ortsi-Yurt",0,1,0,0,0
"Shena (Shuani)",0,0,NA,1,0
"Borzoi",0,0,NA,0,0
"Novogroznenskoi",0,1,0,0,0
"Dyshne-Vedeno",0,1,0,4,4
"Mesedoy",0,0,NA,0,0
"Evli",0,0,NA,0,0
"Serzhen-Yurt",0,1,1,0,0
"Neftyanoye",0,1,0,0,0
"Verkhny Dai",0,0,NA,0,0
"Geldagan (Gel'dygen)",0,0,NA,0,0
"Valerik",0,1,1,0,0
"Dachu-Borzoi",0,0,NA,0,1
"Serzhen-Yurt",0,1,1,2,1
"Kulary",0,0,NA,0,0
"Serzhen-Yurt",0,1,0,2,1
"Dolinskoe",0,0,NA,0,0
"Gikalo",0,1,0,0,0
"Alkhazurovo",0,1,0,2,2
"Bachi-Yurt",0,0,NA,2,1
"Avtury",0,1,0,1,0
"Gekhi (Blagodatnoye)",0,0,NA,2,0
"Khambi-Irze",0,1,0,0,0
"Sel'mentauzen",0,0,NA,2,3
"Chiri-Yurt",0,0,NA,1,0
"Urus-Martan",0,1,1,0,2
"Ilaskhan-Yurt",0,0,NA,0,0
"Makhkety",0,1,3,0,0
"Gekhi-Chu",0,1,0,0,0
"Kirova",0,0,NA,0,0
"Gekhi-Chu",0,1,0,0,0
"Gudermes",0,0,NA,5,6
"Agishbatoi",0,0,NA,0,1
"Shali",0,1,2,4,3
"Khatuni",0,1,0,0,0
"Nadrech'ye",0,0,NA,0,0
"Kharsenoi",0,0,NA,0,0
"Tevzena",0,1,0,0,0
"Oktya'brskoe",0,0,NA,0,0
"Tsa-Vedeno",0,1,0,2,0
"Makhkety",0,1,1,0,0
"Staraya Sunzha",0,0,NA,1,0
"Kirov-Yurt",0,0,NA,0,0
"Sel'mentauzen",0,1,2,0,0
"Chiri-Yurt",0,1,0,1,0
"Oktyabr'skiy (Groznyy)",1,0,NA,6,5
"Kirova",0,0,NA,0,1
"Urus-Martan",0,1,0,0,1
"Roshni-chu",0,0,NA,2,4
"Serzhen-Yurt",0,1,1,2,0
"Berdakel",0,0,NA,0,0
"Serzhen-Yurt",0,1,8,2,0
"Goichu",0,0,NA,0,0
"Kharsenoi",0,1,0,0,0
"Bas-Gordali",0,0,NA,0,0
"Serzhen-Yurt",0,1,8,2,0
"Achireshki",0,0,NA,0,0
"Morzoi-Mokkh",0,1,0,0,0
"Kirova",0,0,NA,1,0
"Urus-Martan",0,1,0,2,1
"Evli",0,0,NA,0,0
"Vedeno",0,1,2,6,1
"Avtury",0,1,0,5,3
"Staropomyslovskiy (Groznyy)",1,0,NA,8,9
"Gudermes",0,0,NA,7,2
"Makhkety",0,1,0,0,0
"Borzoi",0,0,NA,0,0
"Chechen-Aul",0,1,0,3,4
"Regety (Regita)",0,0,NA,0,0
"Serzhen-Yurt",0,1,8,0,1
"Aslanbek-Sherpivo",0,0,NA,0,0
"Tangy-Chu",0,1,0,0,0
"Makhkety",0,1,1,0,1
"Maloye (Malyye Varandy)",0,0,NA,0,0
"Chechen-Aul",0,1,0,2,3
"Staraya Sunzha",0,0,NA,0,0
"Petropavlovskaya",0,1,0,1,1
"Tolstoy-Yurt",0,0,NA,0,0
"Tashi",0,0,NA,0,0
"Tazen-Kale",0,1,1,0,0
"Goryacheistochnenskaya",0,0,NA,0,0
"Makhkety",0,1,1,0,0
"Avtury",0,1,0,2,4
"Regety",0,0,NA,0,0
"Dargo",0,1,0,0,2
"Mesedoy",0,0,NA,0,0
"Elistanzhi",0,1,1,2,0
"Sredniye kurchali",0,0,NA,0,0
"Dzhalka",0,1,1,0,0
"Oktyabr'skiy (Groznyy)",1,0,NA,10,8
"Dzhalka",0,1,0,0,0
"Pervomayskaya",0,0,NA,0,0
"Chechen-Aul",0,1,0,3,0
"Geldagan (Gel'dygen)",0,0,NA,0,0
"Agishbatoi",0,1,0,0,0
"Zumsoj",0,0,NA,0,0
"Elistanzhi",0,1,0,2,0
"Komsomolskoe",0,0,NA,0,0
"Grushevoye",0,0,NA,0,0
"Makhkety",0,1,0,1,0
"Lipovka",0,0,NA,0,0
"Tsa-Vedeno",0,1,0,0,0
"Tolstoy-Yurt",0,0,NA,0,1
"Zumsoj",0,1,0,0,0
"Leshkoroy",0,0,NA,0,0
"Serzhen-Yurt",0,1,0,3,0
"Avarskoye",0,0,NA,0,0
"Dachu-Borzoi",0,1,0,2,2
"Gikalovskiy",0,0,NA,0,0
"Serzhen-Yurt",0,1,0,3,0
"Serzhen-Yurt",0,1,1,1,0
"Staropomyslovskiy (Groznyy)",1,0,NA,8,5
"Dzhugurty",0,0,NA,0,0
"Serzhen-Yurt",0,1,8,0,0
"Pervomayskaya",0,0,NA,0,1
"Verkhny Dai",0,1,0,0,0
"Aslanbek-Sherpivo",0,1,0,0,0
"Oktyabr'skiy (Groznyy)",1,0,NA,6,7
"Dai",0,1,0,0,0
"Ishtiburi",0,0,NA,0,0
"Gatin-Kali",0,1,0,0,0
"Germenchuk",0,0,NA,2,0
"Khal-Keloi",0,1,0,0,0
"Kirov-Yurt",0,0,NA,1,0
"Goryacheistochnenskaya",0,0,NA,0,0
"Marshen-Kali",0,1,0,0,0
"Kulary",0,0,NA,1,0
"Musolt-Aul",0,1,0,0,0
"Guni",0,0,NA,0,2
"Sharo-Argun",0,1,1,0,0
"Makhkety",0,1,0,2,1
"Roshni-chu",0,0,NA,1,1
"Eshilkhatoy",0,1,0,1,1
"Trekhgor'ye",0,0,NA,0,0
"Eshilkhatoy",0,1,0,2,0
"Gudermes",0,0,NA,4,6
"Pamyatoy",0,1,0,0,0
"Sredniye kurchali",0,0,NA,0,0
"Goichu",0,0,NA,0,0
"Khatuni",0,1,0,0,0
"Elistanzhi",0,1,0,0,1
"Regety",0,0,NA,0,1
"Bas-Gordali",0,0,NA,0,0
"Eshilkhatoy",0,1,1,1,0
"Borzoi",0,0,NA,1,0
"Makhkety",0,1,1,0,0
"Avtury",0,1,0,4,3
"Staropomyslovskiy (Groznyy)",1,0,NA,7,5
"Sovetskoye",0,0,NA,0,0
"Vedeno",0,1,2,8,2
"Oktyabr'skiy (Groznyy)",1,0,NA,5,6
"Starye Atagi",0,1,0,0,0
"Alkhan-Yurt",0,0,NA,0,1
"Chechen-Aul",0,1,1,2,1
"Agishty",0,1,6,2,0
"Bas-Gordali",0,0,NA,0,0
"Kharsenoi",0,0,NA,1,0
"Mayrtup",0,1,7,0,1
