"shareself","shareblue","sharewhite","sharedomestic","shareunemployed","nvoter","nazivote"
0.1452451,0.4667877,0.0751894,0.2372128,0.075565,20724,8915
0.1776995,0.37847,0.0886076,0.2710842,0.0841387,61024,20388
0.2100499,0.2878295,0.061648,0.3718949,0.0685777,31741,9670
0.149859,0.4592575,0.0911449,0.2109423,0.0887963,67591,26634
0.1146592,0.2782162,0.2976835,0.0748931,0.234548,226176,100041
0.2145603,0.3040565,0.0573774,0.3549705,0.0690353,30835,15255
0.184266,0.3878074,0.0623398,0.2956744,0.0699124,32939,15791
0.1596905,0.4434049,0.0756757,0.2382536,0.0829753,57187,25943
0.1704057,0.4367858,0.0648391,0.2766537,0.0513157,23404,13104
0.1285784,0.4601309,0.1309826,0.1813811,0.098927,30513,14507
0.1542178,0.4132032,0.105162,0.2394123,0.0880047,27742,12908
0.1812074,0.3717381,0.0688057,0.2864732,0.0917756,24094,11914
0.2215256,0.2831101,0.0640032,0.3585345,0.0728266,26651,14212
0.1721933,0.4097764,0.0852793,0.2737719,0.0589791,77067,37265
0.1246292,0.2478628,0.3430067,0.0846176,0.1998837,27618,12047
0.2190335,0.2944825,0.0574431,0.3799759,0.049065,23822,14905
0.2219648,0.304297,0.0657852,0.3543413,0.0536117,60257,33669
0.1867177,0.3108632,0.1243952,0.248656,0.1293679,75824,37760
0.2175747,0.2248127,0.040918,0.4366771,0.0800175,32778,12242
0.1314104,0.299066,0.3009458,0.0946954,0.1738824,26276,9897
0.2022556,0.2773802,0.0453745,0.4083705,0.0666192,30880,20064
0.1841008,0.3383018,0.1241239,0.2989974,0.0544761,27263,16699
0.2084993,0.2840862,0.0820404,0.3579912,0.0673829,34392,24055
0.1987329,0.293051,0.0604749,0.3880389,0.0597023,22402,15859
0.2278379,0.210789,0.0686571,0.4157796,0.0769364,41443,26633
0.170679,0.3459844,0.1009779,0.3075879,0.0747708,45140,23667
0.1986311,0.2994225,0.071016,0.3392513,0.0916791,30589,9951
0.1936613,0.3196492,0.0642523,0.3458771,0.0765601,31380,18794
0.1964737,0.3742747,0.0330308,0.3238357,0.0723851,15984,7348
0.1045354,0.3177672,0.1905067,0.0688474,0.3183433,51441,20623
0.1294097,0.3758819,0.2074318,0.1588664,0.1284102,26777,12866
0.177727,0.3267086,0.1295535,0.2534074,0.1126035,26883,13982
0.1711958,0.340372,0.1214526,0.280992,0.0859876,35805,20009
0.1564901,0.4271273,0.0668939,0.2453353,0.1041534,22064,7215
0.135855,0.2684832,0.1679751,0.0600165,0.3676702,217223,64730
0.0955362,0.3239763,0.1860494,0.0401612,0.3542769,436417,116065
0.1390276,0.2609557,0.2400202,0.0674913,0.2925052,482382,144590
0.1048016,0.3102945,0.2051328,0.0452016,0.3345695,310835,85388
0.1299637,0.2791759,0.2421321,0.07638,0.2723483,224209,64143
0.1560671,0.2219352,0.2794591,0.100528,0.2420106,282617,93032
0.1150076,0.2966805,0.2472185,0.0665281,0.2745653,68885,23690
0.0812554,0.3506291,0.2618101,0.0441378,0.2621676,110164,40750
0.1391506,0.1914499,0.4029087,0.0992273,0.1672635,152720,63413
0.0972057,0.3010733,0.2606631,0.0434994,0.2975585,341716,97601
0.2048509,0.1455957,0.3335032,0.1520958,0.1639544,165226,53505
0.1628171,0.1770285,0.362502,0.1972585,0.1003939,50393,17578
0.1006503,0.2740383,0.2990902,0.0509739,0.2752473,107355,36939
0.085246,0.3092017,0.1953573,0.0372056,0.3729894,394885,100652
0.0861352000000002,0.3049828,0.2891063,0.040924,0.2788517,98065,30263
0.1611352,0.4122514,0.0853601,0.2325393,0.108714,44262,22484
0.1217196,0.31113,0.2431306,0.0762581,0.2477617,22520,10011
0.1685787,0.344462,0.1112867,0.2272904,0.1483822,55783,23946
0.1486892,0.3634627,0.13705,0.1202144,0.2305837,133250,50241
0.1487005,0.4191953,0.1067834,0.1701659,0.1551549,59534,25536
0.1320038,0.4218344,0.1320884,0.1388711,0.1752023,147400,59041
0.1986414,0.3904637,0.0729197,0.2856695,0.0523057,48447,28505
0.1379008,0.3333696,0.2212294,0.1379551,0.1695451,159932,60740
0.1324204,0.501682,0.0957899,0.172313,0.0977947,39840,20033
0.1247063,0.3941918,0.2248559,0.0735284,0.1827176,20869,6936
0.1845384,0.3712448,0.1039428,0.2525551,0.0877189,55076,28506
0.1684153,0.438291,0.0765819,0.2213449,0.0953669,37861,16864
0.2107599,0.3517494,0.0784064,0.2966786,0.0624057,42797,23359
0.146821,0.2543183,0.2933664,0.0789232,0.2265711,18503,7843
0.2152483,0.3114193,0.0642091,0.3319548,0.0771685,69094,34521
0.164536,0.418831,0.0746871,0.2464002,0.0955457,29627,15920
0.1392687,0.4155864,0.1080996,0.1931613,0.143884,72754,29872
0.212223,0.3087181,0.0497445,0.3369016,0.0924128,39172,21291
0.1604485,0.3139821,0.2540532,0.0817283,0.1897879,39907,17113
0.2177108,0.2557263,0.071335,0.3375395,0.1176884,40141,22540
0.126124,0.5087331,0.1368109,0.0843651,0.1439669,28475,10764
0.1225311,0.3027849,0.2773938,0.0808872,0.216403,55582,28205
0.2098516,0.29997,0.0682261,0.2970835,0.1248688,36828,21003
0.2134962,0.3104661,0.0495092,0.3337713,0.0927572,31362,17586
0.1231418,0.4483531,0.1614865,0.0836993,0.1833193,32126,12894
0.1702594,0.3789565,0.1136166,0.2165998,0.1205677,66636,32142
0.2322607,0.301386,0.0424083,0.3372965,0.0866485,37705,21246
0.1386486,0.320112,0.2309308,0.0865803,0.2237283,31747,15055
0.1644361,0.4016619,0.0937759,0.2230644,0.1170617,111611,49508
0.2490087,0.2172329,0.0871289,0.3903119,0.0563176,22447,13750
0.195855,0.3199313,0.0780733,0.2820641,0.1240763,52158,25006
0.2170379,0.3479219,0.0555224,0.3040643,0.0754535,28281,16042
0.1790205,0.3946857,0.0655562,0.2658338,0.0949038,33158,18636
0.1695706,0.3965236,0.0900524,0.223267,0.1205864,61282,29474
0.1206598,0.4445358,0.1007401,0.1448282,0.1892361,29487,11202
0.174247,0.3753344,0.0582118,0.2887719,0.1034349,30709,15869
0.1960737,0.3414956,0.0946801,0.2854488,0.0823018,41378,22936
0.1703032,0.3578163,0.0850019,0.2893059,0.0975727,43288,18794
0.206903,0.2754616,0.0600595,0.3841069,0.073469,25511,13496
0.2041188,0.3060771,0.0868161,0.2955784,0.1074096,12841,6324
0.1823555,0.3409394,0.1132016,0.2667006,0.0968029,21749,9562
0.2217519,0.2249267,0.0701813,0.3586512,0.1244889,27664,15320
0.1933732,0.3034556,0.0693665,0.333309,0.1004957,35741,16175
0.1138319,0.2532848,0.2835045,0.0901218,0.259257,28019,14422
0.18031,0.3810848,0.0764951,0.2635605,0.0985496,13668,4939
0.1885074,0.3672633,0.0730475,0.3106243,0.0605575,56799,31492
0.1609828,0.4529125,0.1036645,0.2070324,0.0754078,32236,16247
0.1512218,0.4753835,0.0792167,0.184839,0.109339,47762,21169
0.1587008,0.2746237,0.2770883,0.1086172,0.18097,21012,8349
0.1670643,0.4628232,0.067001,0.234601,0.0685105,25048,11337
0.2014629,0.3701389,0.0598214,0.3123024,0.0562744,68263,37089
0.1506491,0.4945701,0.0700988,0.2383033,0.0463787,31458,17701
0.1371029,0.4821332,0.1254142,0.1704986,0.0848511,53762,28578
0.1334082,0.3301137,0.2078142,0.1224183,0.2062456,313870,130626
0.149045,0.2687545,0.2722219,0.0923001,0.2176785,29304,13408
0.1897494,0.2771467,0.1095812,0.2347294,0.1887933,38992,17416
0.2226519,0.2889212,0.1512649,0.2327712,0.1043908,46432,22678
0.1722877,0.3893268,0.0909928,0.2697549,0.0776378,48870,27268
0.1902207,0.2566505,0.0768591,0.3723549,0.1039148,16995,8711
0.1819613,0.3700698,0.0730304,0.2858267,0.0891118,26388,15538
0.1811008,0.298152,0.1313705,0.265295,0.1240817,47676,24077
0.2008639,0.3304112,0.0509465,0.3526024,0.065176,29270,16526
0.1339976,0.2800198,0.2306869,0.0992423,0.2560534,20445,8790
0.1634718,0.3259118,0.1014097,0.299607,0.1095997,119758,58618
0.1898594,0.3280917,0.0737223,0.3352437,0.0730829,52476,30323
0.2092198,0.3073678,0.0574939,0.3550301,0.0708884,73992,39021
0.1612716,0.454339,0.0692373,0.2182644,0.0968877,27908,12133
0.1845374,0.4446731,0.1055479,0.1950541,0.0701875,33112,15641
0.1419179,0.4409839,0.0825659,0.197344,0.1371883,96153,44324
0.1162998,0.24659,0.2362706,0.0773532,0.3234864,479621,201309
0.1841952,0.3348517,0.0567647,0.2764755,0.1477129,56725,30861
0.1197433,0.2693847,0.2375236,0.0829747,0.2903737,19224,8800
0.1891595,0.3225053,0.0953314,0.251792,0.1412118,47659,19314
0.1670067,0.3174096,0.1056917,0.2184062,0.1914858,79738,26594
0.2157884,0.284669,0.0579751,0.3256877,0.1158798,17446,8144
0.2120732,0.3513438,0.0601798,0.3039266,0.0724766,25102,15647
0.2345038,0.2674547,0.068238,0.3271028,0.1027007,34996,15912
0.225042,0.2894084,0.0671283,0.351333,0.0670883,30094,17374
0.1834528,0.3742585,0.0808206,0.2776199,0.0838482,19200,8974
0.1659076,0.4125091,0.0624413,0.2390224,0.1201196,35203,17052
0.1682987,0.3881694,0.0895908,0.2537545,0.1001866,43780,25400
0.1291544,0.4300385,0.1010882,0.1393562,0.2003627,56405,24643
0.1283006,0.3879382,0.0884166,0.1625725,0.2327721,59576,23551
0.1128455,0.2780834,0.2819217,0.0883444,0.238805,22353,9261
0.1960219,0.3528807,0.0754115,0.2969822,0.0787037,36102,20129
0.1058186,0.4451191,0.102116,0.1165744,0.2303719,88503,35930
0.0879687,0.4008034,0.2109085,0.0718995,0.2284199,32073,12758
0.208251,0.3278733,0.0857969,0.2825696,0.0955092,40237,22260
0.1789012,0.3302747,0.0875084,0.2499156,0.1534001,45603,21035
0.1914978,0.3412253,0.0862736,0.255248,0.1257553,77450,37096
0.1827729,0.3627062,0.0738973,0.2581387,0.1224849,102981,52411
0.1315769,0.2579001,0.3276876,0.0934682,0.1893672,19485,8080
0.1538824,0.3229409,0.1632447,0.1506613,0.2092707,109400,49179
0.1745221,0.3176741,0.0865258,0.2188943,0.2023837,56216,26407
0.1477217,0.2448994,0.2724106,0.1183621,0.2166062,21879,9856
0.1704044,0.3471224,0.0761303,0.2781769,0.128166,35780,15419
0.1791498,0.3779597,0.0806237,0.2178422,0.1444246,49711,26103
0.1775339,0.3812459,0.0681449,0.2431791,0.1298962,145994,76232
0.1269228,0.2923585,0.2114456,0.0899928,0.2792803,54838,25594
0.2322271,0.2933711,0.0698625,0.3242146,0.0803247,41723,22026
0.1904835,0.3177107,0.0875581,0.2652269,0.1390208,24338,14784
0.1574356,0.3704078,0.0751944,0.2427706,0.1541916,58335,23577
0.0798472,0.4122629,0.1539114,0.0683901,0.2855884,206225,79701
0.1658019,0.2746329,0.0800861,0.2969439,0.1825352,51601,18761
0.2180651,0.2828126,0.0548172,0.3492151,0.09509,24289,8750
0.2053629,0.3309256,0.0672834,0.3069807,0.0894474,24720,11067
0.1654664,0.3452564,0.108173,0.2669894,0.1141148,32520,16125
0.2130954,0.2751445,0.0693376,0.3092858,0.1331367,51680,19941
0.2000345,0.3380374,0.0622316,0.2996221,0.1000744,43002,13891
0.1321824,0.2465671,0.292761,0.1111185,0.217371,23103,6170
0.2079343,0.2666553,0.0736509,0.3073035,0.144456,60760,20444
0.1655717,0.2421706,0.0578081,0.3300437,0.2044059,86540,27750
0.1351155,0.2613026,0.1781382,0.2305517,0.194892,79426,27332
0.1356264,0.2712324,0.1257523,0.2202501,0.2471388,70435,26253
0.2104701,0.2350579,0.0516997,0.3719169,0.1308554,33066,9976
0.1174017,0.3175602,0.1550107,0.1870692,0.2229582,123324,46238
0.1237396,0.4150198,0.1875454,0.0777607,0.1959345,17792,6293
0.1352459,0.3971864,0.110104,0.144987,0.2124767,76057,28276
0.197848,0.3157179,0.0920977,0.3401018,0.0542346,42418,23071
0.1785544,0.353207,0.1031298,0.2259088,0.1392,53082,26705
0.1342347,0.2690154,0.2663753,0.0822067,0.2481679,35273,15133
0.1668498,0.4248417,0.060308,0.2464117,0.1015888,74853,33633
0.1777113,0.38255,0.0753197,0.2793279,0.0850911,47435,21035
0.1241951,0.2907276,0.2649845,0.068483,0.2516098,230808,84509
0.138158,0.4449646,0.0819836,0.1821927,0.1527011,44730,19309
0.1428305,0.4425839,0.0818661,0.1766416,0.1560779,85497,34464
0.1975879,0.4160213,0.062382,0.289639,0.0343698,29822,15725
0.1563018,0.4075214,0.079335,0.2117653,0.1450765,31545,13859
0.1291379,0.3308606,0.2295605,0.0889367,0.2215043,18635,9602
0.2300759,0.3374334,0.074283,0.3210237,0.037184,41802,24291
0.1659496,0.4434093,0.071045,0.2408349,0.0787612,36316,16735
0.132848,0.3469797,0.2684449,0.0982242,0.1535032,22686,10373
0.1191436,0.4089575,0.1274744,0.1223764,0.2220481,64617,25161
0.1256838,0.3525982,0.1566882,0.1452511,0.2197787,119763,52402
0.1629859,0.3339565,0.1034505,0.219353,0.1802541,43462,20409
0.1171112,0.4414029,0.1096399,0.1491128,0.1827332,69597,23597
0.1408326,0.4206735,0.083438,0.1749094,0.1801465,56452,23550
0.2096538,0.2833904,0.0500911,0.3609938,0.0958709,27158,16156
0.1182178,0.4275877,0.2088898,0.0823247,0.16298,16776,7347
0.119104,0.2747138,0.2767473,0.0690738,0.2603611,158092,59717
0.1756115,0.3573574,0.0745874,0.2825903,0.1098534,53561,26794
0.1417242,0.4025938,0.1027617,0.1924426,0.1604777,83326,33841
0.1021346,0.5266401,0.0686394,0.1297293,0.1728566,53341,20467
0.1189744,0.4106929,0.0964568,0.1617084,0.2121675,65474,24533
0.1019107,0.3300862,0.2806295,0.0737355,0.2136381,21300,7860
0.1801851,0.2452078,0.2047658,0.1378636,0.2319777,21766,8927
0.1464931,0.406363,0.0685756,0.2302241,0.1483442,46096,21485
0.1229029,0.4396089,0.081574,0.1167059,0.2392083,60571,19891
0.171393,0.3148425,0.0899392,0.2799613,0.143864,50657,22478
0.2309541,0.2833892,0.050116,0.3862836,0.0492571,27640,16750
0.1831161,0.3660723,0.0916541,0.2549221,0.1042354,40399,20891
0.1302458,0.3946036,0.1049411,0.1592249,0.2109846,91600,35809
0.1608485,0.4231072,0.1135794,0.212174,0.0902909,57036,25015
0.1279832,0.4158078,0.0589208,0.1663451,0.2309431,25288,9200
0.127857,0.2954043,0.1921848,0.0733595,0.3111944,25645,10199
0.142045,0.4268645,0.1224332,0.0977472,0.2109101,97003,34247
0.1380984,0.3393617,0.1486037,0.0775931,0.2963431,19269,8689
0.1779084,0.3981251,0.085015,0.1374189,0.2015326,130936,59354
0.1322314,0.2804998,0.1961826,0.0781189,0.3129673,15606,7549
0.1936375,0.3823711,0.075102,0.1883216,0.1605678,65421,23640
0.1302911,0.3434208,0.2646524,0.0753208,0.1863149,31753,11206
0.1909061,0.4513559,0.082145,0.1543533,0.1212397,98606,43610
0.13144,0.3209907,0.2137837,0.0651141,0.2686715,61674,23953
0.1200438,0.2812128,0.2676472,0.0715408,0.2595554,35320,14727
0.1430455,0.4577536,0.116639,0.099643,0.1829189,66440,30150
0.1776757,0.3518321,0.1179687,0.1403432,0.2121803,47025,16496
0.1561355,0.4009677,0.1231551,0.1502642,0.1694775,67606,27810
0.2106972,0.37449,0.0979183,0.1870217,0.1298728,48403,22562
0.1832554,0.3457714,0.0909432,0.1440966,0.2359334,96195,50571
0.1984146,0.3643639,0.105491,0.1855949,0.1461356,162364,65552
0.1512949,0.2361199,0.3189459,0.1023626,0.1912767,35550,15539
0.1732752,0.3325935,0.0790384,0.2737567,0.1413362,30752,5885
0.214744,0.2507633,0.0742511,0.341962,0.1182796,27316,14902
0.1860906,0.3303704,0.0384362,0.2852263,0.1598765,27046,11071
0.1608779,0.3084225,0.1533059,0.0730316,0.3043621,27012,10948
0.1509717,0.2825112,0.2702081,0.0992296,0.1970794,27165,11301
0.1383648,0.3751143,0.1096334,0.1615272,0.2153603,53247,22162
0.1490767,0.2777565,0.198844,0.1539652,0.2203576,147643,62445
0.172826,0.3075837,0.0689146,0.2879603,0.1627154,76862,27902
0.1741911,0.3443302,0.1114369,0.1693287,0.2007131,92814,45945
0.1929614,0.3762774,0.0891554,0.2453076,0.0962982,25046,12327
0.2677911,0.2499657,0.0787056,0.3368984,0.0666392,9398,4962
0.2544841,0.304523,0.052855,0.3305606,0.0575773,28395,17962
0.1457011,0.2271711,0.2431477,0.088719,0.2952611,47352,19664
0.1863579,0.3519978,0.1114361,0.2413876,0.1088206,39742,18156
0.2547961,0.2303437,0.0940779,0.3487423,0.07204,28878,17842
0.1117738,0.2474317,0.281186,0.0741747,0.2854338,158813,69225
0.1190015,0.3955492,0.1865371,0.0746038,0.2243084,27997,11534
0.2498367,0.2543132,0.0864497,0.3054183,0.1039821,28817,17554
0.1856698,0.3695348,0.1071155,0.2070117,0.1306682,60125,26099
0.1534963,0.2828477,0.1940848,0.1098574,0.2597138,264695,105801
0.1878964,0.3441448,0.0960712,0.2351654,0.1367222,107063,57106
0.2396866,0.2707063,0.1138446,0.2952213,0.0805412,46601,29014
0.2218591,0.3349975,0.0674161,0.3054737,0.0702536,35026,20989
0.2068621,0.3120727,0.1129433,0.2261426,0.1419793,55844,27875
0.1640592,0.3027582,0.1641262,0.1426067,0.2264497,110881,43087
0.2548693,0.2473139,0.0995437,0.3474955,0.0507776,22869,14393
0.2407294,0.2927831,0.0777735,0.2987716,0.0899424,35608,20153
0.2283981,0.20292,0.0601069,0.455583,0.052992,50546,9192
0.240782,0.2193554,0.050561,0.4387406,0.050561,35011,11405
0.1854383,0.351073,0.0829552,0.3447272,0.0358063,34992,16820
0.2060421,0.2354588,0.0768845,0.4295086,0.052106,25796,5147
0.2322183,0.2839633,0.0533148,0.3657771,0.0647265,18098,6575
0.1739427,0.3541977,0.0673905,0.3064007,0.0980684,46864,12468
0.1402754,0.3086985,0.2682104,0.0896654,0.1931503,66689,25485
0.2472056,0.2007938,0.040094,0.4790215,0.0328851,12452,6133
0.2231538,0.2006962,0.0559943,0.424898,0.0952577,30395,17349
0.2015892,0.2936379,0.0818473,0.306488,0.1164376,95707,45237
0.1399289,0.2925663,0.2366084,0.1202514,0.210645,21884,7338
0.0938111,0.2120883,0.5186391,0.0681144,0.1073471,16852,7579
0.257283,0.2188267,0.0421147,0.4217265,0.0600491,25687,15708
0.2367717,0.1856146,0.052217,0.4866413,0.0387554,65137,12511
0.2029951,0.3080384,0.0821124,0.2935311,0.113323,35779,16532
0.1684639,0.2743129,0.1661335,0.2368973,0.1541924,104496,44173
0.2202177,0.2562163,0.0695159,0.3519056,0.1021445,61246,34598
0.1412654,0.2814938,0.2543019,0.0875207,0.2354182,247750,71277
0.1840135,0.3565407,0.1001511,0.2623006,0.0969941,37839,19004
0.2124105,0.3158736,0.0535143,0.3589153,0.0592863,72893,44678
0.1513206,0.2823243,0.267371,0.1032913,0.1956928,19531,8004
0.1763257,0.3106914,0.1185433,0.2251359,0.1693037,190038,83671
0.2382723,0.2783087,0.0519581,0.3920006,0.0394603,57899,32129
0.144284,0.2972495,0.2507683,0.0971112,0.210587,21906,8448
0.2224325,0.2834056,0.0702618,0.3594328,0.0644673,41009,24730
0.1826551,0.3866493,0.0891502,0.2884783,0.0530671,38633,21877
0.2630562,0.2668764,0.0542921,0.3595955,0.0561798,27968,13410
0.1586157,0.3180889,0.0819817,0.2321469,0.2091668,52949,18894
0.2420142,0.2485581,0.0689885,0.4068323,0.0336069,19365,11468
0.1985868,0.2845244,0.0992934,0.3097427,0.1078527,42670,19153
0.1837953,0.2793773,0.1289578,0.2501808,0.1576888,136477,56317
0.2446419,0.2065901,0.050943,0.4451478,0.0526772,75213,45496
0.1486782,0.3086621,0.2589671,0.0955673,0.1881253,19119,9084
0.197457,0.3403353,0.0713834,0.2776518,0.1131725,34720,17038
0.1301068,0.4126473,0.1090739,0.171567,0.176605,52350,19640
0.1242791,0.2793501,0.2561495,0.0742767,0.2659446,336683,131093
0.2459592,0.223054,0.0555721,0.420587,0.0548277,52286,27853
0.2125089,0.2693902,0.0704318,0.358833,0.0888361,24141,13851
0.185619,0.403057,0.0683954,0.2597241,0.0832045,22425,10150
0.1721035,0.3512026,0.0916523,0.2347115,0.1503301,35356,15217
0.198394,0.2050857,0.0614365,0.3524951,0.1825887,18236,4153
0.1979294,0.2642438,0.0808659,0.3107942,0.1461667,18208,10220
0.1432421,0.4439501,0.0750674,0.1831568,0.1545836,21901,10033
0.1458375,0.302983,0.2810489,0.1056736,0.164457,16432,8798
0.1610567,0.3513784,0.0654215,0.3214143,0.1007291,24308,12857
0.1429257,0.2731728,0.3172278,0.1133603,0.1533134,32659,15283
0.160866,0.4062839,0.0748451,0.2145092,0.1434958,20516,5482
0.1421512,0.2732098,0.2559672,0.0968297,0.2318421,45084,15513
0.1868451,0.4029453,0.0599427,0.2481716,0.1020953,25081,9662
0.1625983,0.2766534,0.1158634,0.2800612,0.1648237,19520,9436
0.1729717,0.3225594,0.0931199,0.3046491,0.1066999,37761,21353
0.1745305,0.2994497,0.0817417,0.2913969,0.1528812,32683,15250
0.1761409,0.3195793,0.0987986,0.2479945,0.1574867,37628,17102
0.1503658,0.3783076,0.1194798,0.1646347,0.1872121,20101,10064
0.1618788,0.3398493,0.1224432,0.2264718,0.1493569,26759,11370
0.141154,0.325663,0.2077847,0.122506,0.2028923,153114,64507
0.1733528,0.3622782,0.0961227,0.2319671,0.1362792,35460,16348
0.1723151,0.3829977,0.1054491,0.2034296,0.1358085,52534,24524
0.1694068,0.3204928,0.1053242,0.2728509,0.1319253,35206,15679
0.1604927,0.4247037,0.1103184,0.1700906,0.1343946,59068,29772
0.150406,0.3413043,0.0945268,0.2537062,0.1600567,55391,12434
0.1129349,0.4471953,0.1409483,0.0830903,0.2158312,19598,2415
0.1886942,0.2641236,0.0708078,0.4033938,0.0729806,31313,6478
0.0579894,0.3946651,0.1241238,0.0607801,0.3624416,49660,10808
0.1720626,0.3427207,0.0884927,0.3139524,0.0827716,76402,14552
0.0684409,0.3568138,0.1245987,0.069511,0.3806356,35627,8930
0.1508078,0.3065823,0.0722016,0.2749778,0.1954305,49460,10958
0.173659,0.3366968,0.0980913,0.3284808,0.0630721,34624,7932
0.1284059,0.2233643,0.3699897,0.1185258,0.1597143,83433,26490
0.0971818,0.3848199,0.1198834,0.1330068,0.2651081,162921,43075
0.142405,0.4456535,0.1047101,0.2215821,0.0856493,64919,12889
0.1837871,0.3001601,0.0656092,0.3758865,0.0745571,45180,16479
0.211075,0.274032,0.0780756,0.3981406,0.0386768,23189,5955
0.1244243,0.4230963,0.1742907,0.0972206,0.1809681,132654,47217
0.1937237,0.2181409,0.0683681,0.4236698,0.0960975,25287,4303
0.227264,0.29478,0.06117,0.3515126,0.0652734,23646,12751
0.1763186,0.2801946,0.0920505,0.3198966,0.1315397,40882,9171
0.1634632,0.4278829,0.0839361,0.2040396,0.1206782,140178,68101
0.1667522,0.3176608,0.1284987,0.2525101,0.1345782,101544,42460
0.1750951,0.3191654,0.1359265,0.289566,0.080247,124066,29861
0.1950355,0.3210614,0.0737509,0.3052036,0.1049486,34591,16813
0.1787722,0.3760858,0.0776699,0.2820644,0.0854077,19345,8071
0.1746103,0.3625793,0.0946052,0.2292186,0.1389866,117944,48921
0.0793794000000001,0.3679402,0.174914,0.0745025,0.3032639,213237,70587
0.1872301,0.2454945,0.084921,0.3658257,0.1165287,29110,5634
0.0843333,0.3327757,0.1675306,0.0728173,0.3425431,503887,123158
0.0697516,0.3736404,0.1357732,0.0637509,0.3570839,254728,70292
0.1154853,0.3585506,0.1448726,0.1358488,0.2452427,124691,43867
0.1312264,0.4339413,0.1386513,0.1261623,0.1700187,192538,68651
0.1628444,0.3116781,0.0943566,0.3261193,0.1050016,30557,6042
0.1461411,0.2787699,0.1090928,0.2775383,0.1884579,38461,4893
